osm_id,name,highway,waterway,aerialway,barrier,man_made,other_tags
33211256,شارع هدي نويرة,tertiary,,,,,"""lanes""=>""2"",""name:ar""=>""شارع هدي نويرة"",""name:fr""=>""Route de la corniche ,Sidi Salem"""
33211263,شارع 14 يناير 2011,tertiary,,,,,"""lanes""=>""2"",""name:ar""=>""شارع 14 يناير 2011"",""name:fr""=>""Avenue 14 Janvier 2011"",""oneway""=>""yes"""
138033963,شارع عين مريم,residential,,,,,"""lanes""=>""2"",""name:ar""=>""شارع عين مريم"",""oneway""=>""yes"""
138033973,,residential,,,,,"""lanes""=>""1"",""oneway""=>""yes"""
138033975,,residential,,,,,"""lanes""=>""1"",""oneway""=>""yes"""
138033979,شارع عين مريم,residential,,,,,"""lanes""=>""2"",""name:ar""=>""شارع عين مريم"",""oneway""=>""yes"""
138033989,شارع هدي نويرة,tertiary,,,,,"""name:ar""=>""شارع هدي نويرة"""
138033998,شارع عين مريم,residential,,,,,"""name:ar""=>""شارع عين مريم"",""oneway""=>""yes"""
138033999,شارع عين مريم,residential,,,,,"""name:ar""=>""شارع عين مريم"",""oneway""=>""yes"""
138034004,,residential,,,,,"""oneway""=>""yes"""
138034008,شارع عين مريم,residential,,,,,"""lanes""=>""2"",""name:ar""=>""شارع عين مريم"""
138034039,Avenue 14 Janvier 2011,tertiary,,,,,"""junction""=>""roundabout"",""lanes""=>""2"",""name:fr""=>""Avenue 14 Janvier 2011"""
138034048,شارع 14 يناير 2011,tertiary,,,,,"""lanes""=>""2"",""name:ar""=>""شارع 14 يناير 2011"",""name:fr""=>""Avenue 14 Janvier 2011"",""oneway""=>""yes"""
138034049,شارع 14 يناير 2011,tertiary,,,,,"""lanes""=>""2"",""name:ar""=>""شارع 14 يناير 2011"",""name:fr""=>""Avenue 14 Janvier 2011"",""oneway""=>""yes"""
138034052,شارع 14 يناير 2011,tertiary,,,,,"""lanes""=>""2"",""name:ar""=>""شارع 14 يناير 2011"",""name:fr""=>""Avenue 14 Janvier 2011"",""oneway""=>""yes"""
138034053,شارع 14 يناير 2011,tertiary,,,,,"""lanes""=>""2"",""name:ar""=>""شارع 14 يناير 2011"",""name:fr""=>""Avenue 14 Janvier 2011"",""oneway""=>""yes"""
138034056,شارع 14 يناير 2011,tertiary,,,,,"""lanes""=>""2"",""name:ar""=>""شارع 14 يناير 2011"",""name:fr""=>""Avenue 14 Janvier 2011"",""oneway""=>""yes"""
225476628,,secondary,,,,,"""lanes""=>""2"""
256630192,,residential,,,,,"""lanes""=>""2"""
256630193,,residential,,,,,"""lanes""=>""2"""
256630195,,residential,,,,,"""lanes""=>""2"""
256630196,,residential,,,,,"""lanes""=>""2"""
256630205,,residential,,,,,"""lanes""=>""2"""
256630207,,living_street,,,,,"""lanes""=>""1"""
256630208,,living_street,,,,,"""lanes""=>""1"""
256630211,,living_street,,,,,"""lanes""=>""1"""
256630213,,residential,,,,,"""lanes""=>""2"""
256630214,,living_street,,,,,"""lanes""=>""1"""
256630217,,living_street,,,,,"""lanes""=>""1"""
256630218,,residential,,,,,"""lanes""=>""2"""
256630224,,living_street,,,,,"""lanes""=>""1"""
256630225,,residential,,,,,"""lanes""=>""2"""
256630231,,living_street,,,,,"""lanes""=>""1"""
256630233,,living_street,,,,,"""lanes""=>""1"""
256630238,,residential,,,,,"""lanes""=>""2"""
256630241,,living_street,,,,,"""lanes""=>""1"""
256630242,,residential,,,,,"""lanes""=>""2"""
256630244,,residential,,,,,"""lanes""=>""2"""
256630246,,living_street,,,,,"""lanes""=>""1"""
256630247,,residential,,,,,"""lanes""=>""2"""
256630248,,living_street,,,,,"""lanes""=>""1"""
256630249,,residential,,,,,"""lanes""=>""2"""
256630254,,living_street,,,,,"""lanes""=>""1"""
256630255,,residential,,,,,"""lanes""=>""2"""
256630257,,residential,,,,,"""lanes""=>""1"""
256630259,,residential,,,,,"""lanes""=>""2"""
256630260,,residential,,,,,"""lanes""=>""2"""
256630263,,residential,,,,,"""lanes""=>""2"""
256630265,,residential,,,,,"""lanes""=>""2"""
256630266,,residential,,,,,"""lanes""=>""2"""
256630267,,residential,,,,,"""lanes""=>""2"""
256630276,,,stream,,,,"""intermittent""=>""yes"""
256645124,,living_street,,,,,"""lanes""=>""1"""
256645149,,living_street,,,,,"""lanes""=>""1"""
256645182,,living_street,,,,,"""lanes""=>""1"""
256645219,,residential,,,,,"""lanes""=>""2"""
256730450,,residential,,,,,"""lanes""=>""2"""
256730452,,residential,,,,,"""lanes""=>""2"""
256730503,,residential,,,,,"""lanes""=>""2"""
256730515,,residential,,,,,"""lanes""=>""2"""
256730518,,residential,,,,,"""lanes""=>""2"""
256730519,,residential,,,,,"""lanes""=>""2"""
256730529,,residential,,,,,"""lanes""=>""2"""
256730536,,residential,,,,,"""lanes""=>""2"""
256730566,,residential,,,,,"""lanes""=>""2"""
256730571,,residential,,,,,"""lanes""=>""2"""
256730577,,residential,,,,,"""lanes""=>""2"""
256730591,,residential,,,,,"""lanes""=>""2"""
256871054,,residential,,,,,"""lanes""=>""2"""
256871059,,residential,,,,,"""lanes""=>""2"""
256871090,,living_street,,,,,"""lanes""=>""1"""
256871097,,living_street,,,,,"""lanes""=>""1"""
483499702,,,,,,,"""natural""=>""coastline"""
483499758,,,,,,,"""natural""=>""coastline"""
483499759,,,,,,,"""natural""=>""coastline"""
